MJS LOCADORA LTDA                                                                                CNPJ: 488.890.0001/58
Rua Manoel Barros da Silva, s/n, Centro                                                                     16:01:2015
São Benedito do Sul-PE                                                                                        19:45:47
atendimento@mjslocadora.com                      RELATÓRIO DE FILMES                                           Pag.: 1
----------------------------------------------------------------------------------------------------------------------
Código | Título                             | Sinopse                                        | Quantidade | Categoria 
  34   | Qualquer nome10                    | Coloquei esta frase só pra incluir algo no ... |        110 |           
  35   | Qualquer nome10                    | Coloquei esta frase só pra incluir algo no ... |        110 |           
  36   | Qualquer nome10                    | Coloquei esta frase só pra incluir algo no ... |        110 |           
  37   | Qualquer nome10                    | Coloquei esta frase só pra incluir algo no ... |        110 |           
  38   | Qualquer nome10                    | Coloquei esta frase só pra incluir algo no ... |        110 |           
  39   | Qualquer nome10                    | Coloquei esta frase só pra incluir algo no ... |        110 |           
  40   | Qualquer nome10                    | Coloquei esta frase só pra incluir algo no ... |        110 |           
  41   | Qualquer nome10                    | Coloquei esta frase só pra incluir algo no ... |        110 |           
  42   | Qualquer nome10                    | Coloquei esta frase só pra incluir algo no ... |        110 |           
  43   | Qualquer nome10                    | Coloquei esta frase só pra incluir algo no ... |        110 |           
  44   | Qualquer nome10                    | Coloquei esta frase só pra incluir algo no ... |        110 |           
  45   | Qualquer nome10                    | Coloquei esta frase só pra incluir algo no ... |        110 |           
  46   | Qualquer nome10                    | Coloquei esta frase só pra incluir algo no ... |        110 |           
  47   | Qualquer nome10                    | Coloquei esta frase só pra incluir algo no ... |        110 |           
  48   | Qualquer nome10                    | Coloquei esta frase só pra incluir algo no ... |        110 |           
  49   | Qualquer nome10                    | Coloquei esta frase só pra incluir algo no ... |        110 |           
  50   | Qualquer nome10                    | Coloquei esta frase só pra incluir algo no ... |        110 |           
  51   | Qualquer nome10                    | Coloquei esta frase só pra incluir algo no ... |        110 |           
  52   | Qualquer nome10                    | Coloquei esta frase só pra incluir algo no ... |        110 |           
  53   | Qualquer nome10                    | Coloquei esta frase só pra incluir algo no ... |        110 |           
  54   | Qualquer nome10                    | Coloquei esta frase só pra incluir algo no ... |        110 |           
  55   | Qualquer nome10                    | Coloquei esta frase só pra incluir algo no ... |        110 |           
  56   | Qualquer nome10                    | Coloquei esta frase só pra incluir algo no ... |        110 |           
  57   | Qualquer nome10                    | Coloquei esta frase só pra incluir algo no ... |        110 |           
  58   | Qualquer nome10                    | Coloquei esta frase só pra incluir algo no ... |        110 |           
  59   | Qualquer nome10                    | Coloquei esta frase só pra incluir algo no ... |        110 |           
  60   | Qualquer nome10                    | Coloquei esta frase só pra incluir algo no ... |        110 |           
  61   | Qualquer nome60                    | Coloquei esta frase só pra incluir algo no ... |        160 |           
  62   | Qualquer nome60                    | Coloquei esta frase só pra incluir algo no ... |        160 |           
  63   | Qualquer nome60                    | Coloquei esta frase só pra incluir algo no ... |        160 |           
  64   | Qualquer nome60                    | Coloquei esta frase só pra incluir algo no ... |        160 |           
  65   | Qualquer nome60                    | Coloquei esta frase só pra incluir algo no ... |        160 |           
  66   | Qualquer nome60                    | Coloquei esta frase só pra incluir algo no ... |        160 |           
  67   | Qualquer nome60                    | Coloquei esta frase só pra incluir algo no ... |        160 |           
  68   | Qualquer nome60                    | Coloquei esta frase só pra incluir algo no ... |        160 |           
  69   | Qualquer nome60                    | Coloquei esta frase só pra incluir algo no ... |        160 |           
MJS LOCADORA LTDA                                                                                CNPJ: 488.890.0001/58
Rua Manoel Barros da Silva, s/n, Centro                                                                     16:01:2015
São Benedito do Sul-PE                                                                                        19:45:47
atendimento@mjslocadora.com                      RELATÓRIO DE FILMES                                           Pag.: 2
----------------------------------------------------------------------------------------------------------------------
Código | Título                             | Sinopse                                        | Quantidade | Categoria 
----------------------------------------------------------------------------------------------------------------------
  70   | Qualquer nome60                    | Coloquei esta frase só pra incluir algo no ... |        160 |           
  71   | Qualquer nome60                    | Coloquei esta frase só pra incluir algo no ... |        160 |           
  72   | Qualquer nome60                    | Coloquei esta frase só pra incluir algo no ... |        160 |           
  73   | Qualquer nome60                    | Coloquei esta frase só pra incluir algo no ... |        160 |           
  74   | Qualquer nome60                    | Coloquei esta frase só pra incluir algo no ... |        160 |           
  75   | Qualquer nome60                    | Coloquei esta frase só pra incluir algo no ... |        160 |           
  76   | Qualquer nome60                    | Coloquei esta frase só pra incluir algo no ... |        160 |           
  77   | Qualquer nome60                    | Coloquei esta frase só pra incluir algo no ... |        160 |           
  78   | Qualquer nome60                    | Coloquei esta frase só pra incluir algo no ... |        160 |           
  79   | Qualquer nome60                    | Coloquei esta frase só pra incluir algo no ... |        160 |           
  80   | Qualquer nome60                    | Coloquei esta frase só pra incluir algo no ... |        160 |           
  81   | Qualquer nome60                    | Coloquei esta frase só pra incluir algo no ... |        160 |           
  82   | Qualquer nome60                    | Coloquei esta frase só pra incluir algo no ... |        160 |           
  83   | Qualquer nome60                    | Coloquei esta frase só pra incluir algo no ... |        160 |           
  84   | Qualquer nome60                    | Coloquei esta frase só pra incluir algo no ... |        160 |           
  85   | Qualquer nome60                    | Coloquei esta frase só pra incluir algo no ... |        160 |           
  86   | Qualquer nome60                    | Coloquei esta frase só pra incluir algo no ... |        160 |           
  87   | Qualquer nome60                    | Coloquei esta frase só pra incluir algo no ... |        160 |           
  88   | Qualquer nome60                    | Coloquei esta frase só pra incluir algo no ... |        160 |           
  89   | Qualquer nome60                    | Coloquei esta frase só pra incluir algo no ... |        160 |           
  90   | Qualquer nome60                    | Coloquei esta frase só pra incluir algo no ... |        160 |           
  91   | Qualquer nome60                    | Coloquei esta frase só pra incluir algo no ... |        160 |           
  92   | Qualquer nome60                    | Coloquei esta frase só pra incluir algo no ... |        160 |           
  93   | Qualquer nome60                    | Coloquei esta frase só pra incluir algo no ... |        160 |           
  94   | Qualquer nome60                    | Coloquei esta frase só pra incluir algo no ... |        160 |           
  95   | Qualquer nome60                    | Coloquei esta frase só pra incluir algo no ... |        160 |           
  96   | Qualquer nome60                    | Coloquei esta frase só pra incluir algo no ... |        160 |           
  97   | Qualquer nome60                    | Coloquei esta frase só pra incluir algo no ... |        160 |           
  98   | Qualquer nome60                    | Coloquei esta frase só pra incluir algo no ... |        160 |           
  99   | Qualquer nome60                    | Coloquei esta frase só pra incluir algo no ... |        160 |           
 100   | Qualquer nome60                    | Coloquei esta frase só pra incluir algo no ... |        160 |           
 101   | Qualquer nome60                    | Coloquei esta frase só pra incluir algo no ... |        160 |           
 102   | Qualquer nome60                    | Coloquei esta frase só pra incluir algo no ... |        160 |           
 103   | Qualquer nome60                    | Coloquei esta frase só pra incluir algo no ... |        160 |           
 104   | Qualquer nome60                    | Coloquei esta frase só pra incluir algo no ... |        160 |           
 105   | Qualquer nome60                    | Coloquei esta frase só pra incluir algo no ... |        160 |           
 106   | Qualquer nome60                    | Coloquei esta frase só pra incluir algo no ... |        160 |           
 107   | Qualquer nome60                    | Coloquei esta frase só pra incluir algo no ... |        160 |           
 108   | Qualquer nome60                    | Coloquei esta frase só pra incluir algo no ... |        160 |           
 109   | Qualquer nome60                    | Coloquei esta frase só pra incluir algo no ... |        160 |           
 110   | Qualquer nome60                    | Coloquei esta frase só pra incluir algo no ... |        160 |           
 111   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 112   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 113   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 114   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 115   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 116   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 117   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 118   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 119   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 120   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 121   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 122   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 123   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 124   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 125   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 126   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 127   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 128   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 129   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 130   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 131   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 132   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 133   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 134   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 135   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 136   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 137   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 138   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
MJS LOCADORA LTDA                                                                                CNPJ: 488.890.0001/58
Rua Manoel Barros da Silva, s/n, Centro                                                                     16:01:2015
São Benedito do Sul-PE                                                                                        19:45:47
atendimento@mjslocadora.com                      RELATÓRIO DE FILMES                                           Pag.: 3
----------------------------------------------------------------------------------------------------------------------
Código | Título                             | Sinopse                                        | Quantidade | Categoria 
----------------------------------------------------------------------------------------------------------------------
 139   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 140   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 141   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 142   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 143   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 144   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 145   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 146   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 147   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 148   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 149   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 150   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 151   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 152   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 153   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 154   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 155   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 156   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 157   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 158   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 159   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 160   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 161   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 162   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 163   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 164   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 165   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 166   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 167   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 168   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 169   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 170   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 171   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 172   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 173   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 174   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 175   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 176   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 177   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 178   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 179   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 180   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 181   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 182   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 183   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 184   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 185   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 186   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 187   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 188   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 189   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 190   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 191   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 192   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 193   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 194   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 195   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 196   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 197   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 198   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 199   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 200   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 201   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 202   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 203   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 204   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 205   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 206   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 207   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
MJS LOCADORA LTDA                                                                                CNPJ: 488.890.0001/58
Rua Manoel Barros da Silva, s/n, Centro                                                                     16:01:2015
São Benedito do Sul-PE                                                                                        19:45:47
atendimento@mjslocadora.com                      RELATÓRIO DE FILMES                                           Pag.: 4
----------------------------------------------------------------------------------------------------------------------
Código | Título                             | Sinopse                                        | Quantidade | Categoria 
----------------------------------------------------------------------------------------------------------------------
 208   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 209   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
 210   | Qualquer nome110                   | Coloquei esta frase só pra incluir algo no ... |       1110 |           
----------------------------------------------------------------------------------------------------------------------

































































MJS LOCADORA LTDA                                                                                CNPJ: 488.890.0001/58
Rua Manoel Barros da Silva, s/n, Centro                                                                     16:01:2015
São Benedito do Sul-PE                                                                                        19:45:47
atendimento@mjslocadora.com                      RELATÓRIO DE FILMES                                           Pag.: 5
----------------------------------------------------------------------------------------------------------------------
                                                   TOTAIS GERAIS276                                                   
----------------------------------------------------------------------------------------------------------------------
                              Tít.   Est. |                Tít.   Est. |                Tít.   Est. |                 
               Ação:          0000   0000 | Terror:        0000   0000 | Romance:       0000   0000 |                 
               Aventura:      0000   0000 | Biografia:     0000   0000 | Policial:      0000   0000 |                 
               Guerra:        0000   0000 | Ficção:        0000   0000 | Séries:        0000   0000 |                 
               Drama:         0000   0000 | Suspense:      0000   0000 | B.Fatos Reais: 0000   0000 |                 
               Comédia:       0000   0000 | Romance:       0000   0000 |                            |                 
----------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------
                         Títulos:                    Categorias:                   Estoque:                           
----------------------------------------------------------------------------------------------------------------------
